sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_0,gender_1
50,0.0,0,0.04878048780487804,1,0.3125,1,56.11,,True,False
51,0.5963756177924218,2,0.4487804878048781,0,0.3125,1,62.98,0.0,True,False
52,0.3973640856672157,1,0.15121951219512197,0,0.3541666666666667,1,62.65,,False,True
53,0.14546952224052712,1,0.07317073170731703,0,,1,65.49,,True,False
54,0.543657331136738,2,0.5365853658536585,2,0.7708333333333333,1,71.04,0.33783783783783783,False,True
55,0.3789126853377265,2,0.4634146341463414,0,,1,65.56,0.021621621621621637,True,False
56,0.487644151565074,2,0.3658536585365853,0,0.4375,1,52.71,0.02702702702702703,False,True
57,0.5667215815485998,1,0.2780487804878048,0,0.375,0,66.88,0.05405405405405406,False,True
58,0.6425041186161449,1,0.5853658536585364,0,0.625,0,63.59,0.21621621621621623,False,True
59,0.4118616144975288,2,0.43902439024390233,0,0.5,0,57.99,0.0918918918918919,False,True
60,0.4708401976935749,2,0.5392682926829268,2,0.15833333333333338,0,56.66,0.08783783783783786,False,True
61,0.543657331136738,2,0.5365853658536585,0,0.20833333333333337,0,57.24,0.08108108108108109,False,True
62,0.599670510708402,1,0.41195121951219504,0,0.24166666666666672,0,62.48,0.13513513513513514,False,True
63,0.44810543657331137,2,0.42439024390243907,2,0.1875,0,59.69,0.05405405405405406,True,False
64,0.543657331136738,1,0.34146341463414626,0,0.3854166666666667,1,59.5,,False,True
65,0.5930807248764415,1,0.6097560975609755,0,0.22916666666666669,0,58.78,0.05405405405405406,False,True
66,0.1647446457990115,2,0.1707317073170731,0,0.826875,1,57.1,,False,True
67,0.6095551894563427,2,0.3902439024390243,0,0.3941666666666667,1,58.46,0.10135135135135136,False,True
68,0.6836902800658978,1,0.41463414634146334,0,0.38979166666666654,0,60.99,0.10135135135135136,False,True
69,0.1647446457990115,1,0.5536585365853658,2,0.6041666666666667,1,59.24,,True,False
70,0.5930807248764415,2,0.3902439024390243,2,0.4166666666666667,0,68.07,0.10135135135135136,False,True
71,0.39538714991762763,2,0.2926829268292682,2,0.8125,0,65.45,0.21621621621621623,False,True
72,0.5484349258649095,1,0.5121951219512194,0,0.9375,0,66.94,0.05405405405405406,False,True
73,0.49423393739703453,2,0.6829268292682926,0,0.9479166666666667,0,68.53,0.05405405405405406,False,True
74,0.7714991762767709,1,0.5297560975609755,0,0.75,0,59.75,0.024324324324324326,False,True
75,0.457990115321252,1,0.4926829268292683,0,0.7139583333333333,0,67.2,0.1837837837837838,False,True
76,0.4118616144975288,1,0.6707317073170731,0,0.5,1,67.0,,True,False
77,0.5502471169686985,0,0.5348780487804878,0,0.22916666666666669,0,64.27,0.04054054054054054,True,False
78,0.7084019769357495,2,0.3658536585365853,2,0.39583333333333337,0,57.65,0.4054054054054055,False,True
79,0.8879736408566722,2,0.3536585365853658,2,0.7508333333333335,0,59.42,0.0945945945945946,False,True
80,0.4118616144975288,2,0.3902439024390243,2,0.5208333333333334,1,67.99,,True,False
81,0.4118616144975288,1,0.4634146341463414,0,0.3541666666666667,1,62.35,0.05405405405405406,True,False
82,0.42833607907742993,2,0.41463414634146334,0,0.75,0,70.2,0.13513513513513514,False,True
83,0.49423393739703453,1,0.5853658536585364,0,0.6666666666666667,0,60.44,,False,True
84,0.6919275123558484,2,0.43902439024390233,2,0.7083333333333334,0,66.69,0.13513513513513514,False,True
85,0.42833607907742993,2,0.48780487804878037,2,0.10416666666666669,0,62.0,0.13513513513513514,False,True
86,0.8703459637561778,1,0.6634146341463414,0,0.5987499999999999,0,76.18,0.2702702702702703,True,False
87,0.42833607907742993,1,0.34146341463414626,0,0.3541666666666667,0,57.03,0.02702702702702703,False,True
88,0.23064250411861614,2,0.24390243902439018,1,0.5208333333333334,1,59.08,,False,True
89,0.4118616144975288,1,0.5609756097560974,0,0.16666666666666669,1,64.36,0.013513513513513514,True,False
90,0.6260296540362438,2,0.4634146341463414,2,0.25,1,62.36,0.013513513513513514,True,False
91,0.8731466227347611,1,0.7804878048780486,0,0.875,0,68.03,0.13513513513513514,True,False
92,0.32948929159802304,1,0.01951219512195107,0,0.3541666666666667,1,62.79,,False,True
93,0.5271828665568369,2,0.3902439024390243,0,0.45833333333333337,0,59.47,0.04054054054054054,True,False
94,0.4118616144975288,1,0.09756097560975607,0,0.45833333333333337,1,55.41,,False,True
95,0.4118616144975288,1,0.34146341463414626,0,0.08083333333333337,0,54.97,0.08108108108108109,False,True
96,0.6754530477759473,1,0.3658536585365853,0,0.9470833333333333,0,62.16,0.2972972972972973,False,True
97,0.543657331136738,2,0.6341463414634145,0,0.33333333333333337,0,64.44,0.13513513513513514,True,False
98,0.4200988467874794,1,0.2682926829268292,0,0.9147916666666667,0,69.03,,True,False
99,0.5930807248764415,1,0.3658536585365853,0,0.4166666666666667,0,57.31,0.02702702702702703,True,False
100,0.7413509060955519,1,0.31707317073170727,2,0.0,0,59.47,,False,True
101,0.32948929159802304,1,0.19512195121951215,0,0.133125,1,64.95,,True,False
102,0.5766062602965403,1,0.43902439024390233,0,0.5833333333333334,1,60.44,0.24324324324324326,False,True
103,0.39538714991762763,1,0.43902439024390233,0,0.15625,0,61.31,0.13513513513513514,True,False
104,0.6754530477759473,2,0.5609756097560974,2,0.7291666666666667,1,65.83,0.05405405405405406,False,True
105,0.42833607907742993,2,0.3658536585365853,0,0.10416666666666669,1,58.23,0.21621621621621623,False,True
106,0.4448105436573311,2,0.19512195121951215,2,0.7291666666666667,1,55.3,,False,True
107,0.214168039538715,2,0.09756097560975607,2,0.4375,0,65.69,,False,True
108,0.8731466227347611,1,0.8048780487804876,0,0.625,1,73.52,0.0,False,True
109,0.7413509060955519,1,0.4634146341463414,0,0.7083333333333334,0,58.31,0.13513513513513514,False,True
110,0.42833607907742993,2,0.3658536585365853,2,0.75,1,56.09,,False,True
111,0.543657331136738,2,0.5365853658536585,2,0.15000000000000008,1,54.8,0.06756756756756757,True,False
112,,2,0.2682926829268292,2,0.20833333333333337,1,60.64,,False,True
113,0.39538714991762763,1,0.2682926829268292,0,0.16666666666666669,1,53.94,0.06756756756756757,False,True
114,0.6919275123558484,1,0.41463414634146334,0,0.46145833333333347,0,63.08,0.10810810810810811,True,False
115,0.5107084019769357,2,0.4634146341463414,0,0.07708333333333345,1,55.01,0.06756756756756757,False,True
116,0.42833607907742993,2,0.3902439024390243,0,0.8125,0,60.5,0.021621621621621637,True,False
117,0.5897858319604612,1,0.4048780487804876,0,0.9583333333333334,0,70.85,0.13513513513513514,False,True
118,0.6260296540362438,2,0.5609756097560974,2,0.625,0,67.05,0.05405405405405406,False,True
119,0.7084019769357495,2,0.6829268292682926,2,0.9791666666666667,1,70.48,0.10270270270270271,False,True
120,0.5172981878088962,1,0.3560975609756095,0,,0,64.34,1.0,False,True
121,0.04942339373970345,2,0.21951219512195116,0,0.4791666666666667,1,58.81,,False,True
122,0.49423393739703453,2,0.47804878048780464,2,0.11812500000000009,1,71.49,0.06756756756756757,True,False
123,0.4909390444810543,0,0.47073170731707303,0,0.6333333333333335,0,71.0,0.048648648648648665,True,False
124,0.36243822075782534,1,0.5609756097560974,0,0.20833333333333337,1,56.7,0.05405405405405406,False,True
125,0.5601317957166392,2,0.3495121951219511,1,0.2916666666666667,1,61.26,0.06756756756756757,False,True
126,0.5930807248764415,1,0.5609756097560974,0,0.5208333333333334,0,73.33,0.20270270270270274,True,False
127,0.39538714991762763,2,0.621951219512195,2,0.4166666666666667,0,68.2,0.013513513513513514,True,False
128,0.3789126853377265,2,0.4634146341463414,0,0.11458333333333331,1,58.4,0.06756756756756757,True,False
129,0.599670510708402,2,0.6760975609756097,2,0.65,1,76.26,0.2702702702702703,False,True
130,0.8682042833607908,1,0.3902439024390243,0,0.8333333333333334,0,68.55,0.06756756756756757,False,True
131,0.46128500823723223,1,0.24390243902439018,0,0.7083333333333334,0,64.15,,False,True
132,0.32948929159802304,2,0.2926829268292682,1,0.625,0,60.78,0.21621621621621623,True,False
133,0.5107084019769357,1,0.34146341463414626,0,0.5083333333333335,1,53.49,0.13513513513513514,False,True
134,0.4448105436573311,1,0.6585365853658536,0,0.3125,1,60.98,0.06756756756756757,False,True
135,0.9060955518945633,1,0.5365853658536585,0,0.9166666666666667,0,67.13,0.06756756756756757,True,False
136,0.3130148270181219,2,0.4634146341463414,0,0.1166666666666667,1,65.63,0.0,True,False
137,0.36243822075782534,0,0.34146341463414626,0,0.5833333333333334,0,61.58,,True,False
138,0.42833607907742993,1,0.5365853658536585,0,0.125,1,60.41,0.033783783783783786,False,True
139,0.4448105436573311,2,0.5609756097560974,2,0.9583333333333334,0,71.77,0.06756756756756757,True,False
140,0.543657331136738,1,0.21951219512195116,0,0.16666666666666669,0,54.43,0.02702702702702703,False,True
141,0.457990115321252,1,0.4756097560975609,0,0.125,0,56.94,0.08783783783783786,False,True
142,0.4448105436573311,2,0.24390243902439018,0,0.20833333333333337,1,61.9,,False,True
143,0.3789126853377265,2,0.5714634146341464,2,0.20833333333333337,0,61.29,0.08108108108108109,False,True
144,0.4594728171334431,1,0.5041463414634146,0,0.8125,0,60.39,0.13513513513513514,False,True
145,0.214168039538715,0,0.2682926829268292,0,0.20833333333333337,0,58.52,,False,True
146,0.4721581548599669,2,0.5182926829268292,2,0.45833333333333337,1,63.23,0.2702702702702703,False,True
147,0.42833607907742993,2,0.3902439024390243,0,0.7291666666666667,1,55.14,0.0445945945945946,False,True
148,0.6095551894563427,1,0.3658536585365853,0,0.6875,0,62.28,0.13513513513513514,False,True
149,0.8072487644151565,0,0.1463414634146341,1,0.14583333333333331,0,64.08,0.05405405405405406,True,False
150,0.3459637561779242,0,0.12195121951219506,0,0.296875,1,58.54,,False,True
151,0.3568369028006589,2,0.19512195121951215,2,0.125,0,61.3,0.6621621621621622,False,True
152,0.46128500823723223,1,0.6097560975609755,0,0.6875,0,58.87,0.0945945945945946,False,True
153,0.38714991762767703,2,0.8292682926829267,2,1.0,0,65.25,0.05405405405405406,True,False
154,0.36243822075782534,2,0.3658536585365853,2,0.75,0,62.48,0.1891891891891892,False,True
155,0.42833607907742993,2,0.24390243902439018,0,0.4166666666666667,0,53.2,0.06756756756756757,False,True
156,0.6204283360790773,1,0.24146341463414625,0,0.128125,1,65.99,,False,True
157,0.5337726523887975,2,0.3658536585365853,2,0.625,1,52.72,0.07432432432432433,False,True
158,0.4200988467874794,1,0.26585365853658527,0,0.9041666666666668,0,55.03,0.13513513513513514,False,True
159,0.42833607907742993,2,0.34146341463414626,2,0.20833333333333337,0,61.87,,False,True
160,0.19769357495881384,1,0.19512195121951215,0,0.25,1,60.59,,False,True
161,0.6095551894563427,2,0.3658536585365853,2,0.5208333333333334,1,72.29,0.13513513513513514,False,True
162,0.23064250411861614,1,0.18292682926829262,0,0.15895833333333342,1,62.72,,False,True
163,0.8336079077429981,1,0.6646341463414633,0,0.5250000000000001,0,66.06,0.11486486486486487,False,True
164,0.49423393739703453,2,0.34146341463414626,2,0.5208333333333334,0,66.46,0.4054054054054055,False,True
165,0.5848434925864909,1,0.32560975609756093,0,0.0633333333333333,0,65.52,0.06756756756756757,True,False
166,0.6808896210873145,1,0.5853658536585364,0,0.625,0,74.56,,True,False
167,0.4118616144975288,1,0.24390243902439018,0,0.27083333333333337,1,52.38,0.05405405405405406,False,True
168,0.4118616144975288,2,0.41463414634146334,2,0.16875,0,75.71,,False,True
169,0.23064250411861614,1,0.19512195121951215,0,0.20833333333333337,1,58.79,,True,False
170,0.0850082372322899,2,0.2746341463414633,2,0.09333333333333327,1,65.48,,False,True
171,0.4975288303130148,1,0.24390243902439018,0,0.16791666666666671,1,69.28,,True,False
172,0.7084019769357495,1,0.5365853658536585,0,0.28729166666666667,0,66.04,0.12162162162162163,False,True
173,0.3459637561779242,1,0.1463414634146341,0,0.7083333333333334,1,52.64,0.13513513513513514,False,True
174,0.2471169686985173,2,0.12195121951219506,2,0.3541666666666667,1,59.32,,True,False
175,0.22784184514003292,2,0.3480487804878047,2,0.2916666666666667,0,66.23,0.4054054054054055,False,True
176,0.4118616144975288,2,0.3658536585365853,2,0.78125,1,60.69,,False,True
177,0.3789126853377265,1,0.1463414634146341,0,0.10416666666666669,1,57.9,0.02702702702702703,True,False
178,0.9884678747940692,1,0.7073170731707316,0,0.8125,0,70.81,0.6081081081081081,True,False
179,0.3130148270181219,2,0.43902439024390233,2,0.4791666666666667,1,68.07,0.20270270270270274,False,True
180,0.4448105436573311,2,0.3463414634146341,2,0.53125,1,72.14,,True,False
181,0.5683690280065897,1,0.31219512195121935,0,0.14583333333333331,0,56.6,0.08783783783783786,False,True
182,0.38434925864909386,2,0.3465853658536583,2,0.27083333333333337,1,60.02,,False,True
183,0.46128500823723223,0,0.1707317073170731,1,0.5208333333333334,0,59.81,,False,True
184,0.6589785831960461,1,0.4634146341463414,0,0.20833333333333337,1,61.82,0.10270270270270271,False,True
185,0.4255354200988467,1,0.23878048780487796,0,0.20833333333333337,1,57.29,,True,False
186,0.5766062602965403,2,0.6829268292682926,1,0.6666666666666667,1,71.43,0.07027027027027027,True,False
187,0.4448105436573311,1,0.2682926829268292,0,0.10416666666666669,0,62.93,,True,False
188,0.46952224052718283,2,0.41463414634146334,2,0.9375,0,64.86,0.10810810810810811,False,True
189,0.1647446457990115,1,0.10682926829268297,0,0.14583333333333331,0,56.13,,False,True
190,0.6688632619439867,1,0.46829268292682924,0,0.9510416666666668,0,66.94,,True,False
191,0.5469522240527183,1,0.2682926829268292,0,0.0,0,62.5,,True,False
192,0.39538714991762763,2,0.5365853658536585,0,0.45833333333333337,0,61.01,0.08648648648648649,False,True
193,0.4019769357495881,1,0.36097560975609744,0,0.9041666666666668,0,57.34,0.0945945945945946,False,True
194,0.42833607907742993,0,0.1463414634146341,1,0.625,1,56.63,0.13513513513513514,True,False
195,0.2965403624382207,1,0.1536585365853657,0,0.1875,0,64.74,,False,True
196,0.6425041186161449,1,0.5365853658536585,0,0.7083333333333334,1,58.95,0.10135135135135136,False,True
197,0.42833607907742993,2,0.6707317073170731,2,0.5833333333333334,0,54.48,0.06756756756756757,False,True
198,0.26359143327841844,2,0.9999999999999999,2,0.1941666666666667,1,69.71,0.08108108108108109,True,False
199,0.543657331136738,1,0.3658536585365853,1,0.7916666666666667,1,71.96,,True,False
200,0.46128500823723223,1,0.1707317073170731,0,0.4791666666666667,1,55.8,0.08783783783783786,False,True
201,0.3789126853377265,1,0.3658536585365853,0,0.7822916666666666,0,52.81,0.13513513513513514,False,True
202,0.42833607907742993,2,0.19512195121951215,0,0.6041666666666667,1,58.44,,False,True
203,0.42833607907742993,2,0.3902439024390243,2,0.23500000000000004,1,60.11,0.05405405405405406,False,True
204,0.400823723228995,1,0.16756097560975597,0,0.33333333333333337,1,58.3,0.08108108108108109,False,True
205,0.5930807248764415,1,0.5609756097560974,0,0.625,0,67.69,0.013513513513513514,True,False
206,0.4118616144975288,1,0.3658536585365853,0,0.25,0,56.81,0.06756756756756757,False,True
207,0.0823723228995058,2,0.24390243902439018,0,0.9791666666666667,0,53.39,,False,True
208,0.6754530477759473,1,0.2682926829268292,0,0.8033333333333335,0,71.55,0.13513513513513514,False,True
209,0.3789126853377265,2,0.3658536585365853,0,0.8887499999999999,1,62.92,,True,False
210,0.5766062602965403,1,0.3658536585365853,0,0.3541666666666667,0,56.49,0.021621621621621637,False,True
211,0.7413509060955519,1,0.6731707317073168,0,0.8541666666666667,0,74.49,0.2702702702702703,False,True
212,0.3789126853377265,2,0.5365853658536585,2,0.5,0,53.62,0.10135135135135136,False,True
213,0.49423393739703453,1,0.5609756097560974,0,0.1875,0,69.72,0.1283783783783784,False,True
214,0.4777594728171334,1,0.19512195121951215,0,0.4166666666666667,1,60.23,0.00540540540540542,True,False
215,0.3459637561779242,2,0.07317073170731703,0,0.8125,1,60.22,,False,True
